Time,Mass flow rate supply i [kg_h],Pressure drop supply between i and e [Pa],Pressure drop return between a and i [Pa],Pressure drop return between i and h [Pa],Fluid temperature supply i [C],Fluid temperature supply h [C],Fluid temperature supply g [C],Fluid temperature supply f [C],Fluid temperature supply e [C],Fluid temperature supply SimpleDistrict_1 [C],Fluid temperature return i [C],Fluid temperature return h [C],Fluid temperature return g [C],Fluid temperature return f [C],Fluid temperature return e [C],Fluid temperature return SimpleDistrict_1 [C],Heat loss supply between i and h [W],Total heat load supplied by heat source [W]
0,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
1,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
2,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
3,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
4,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
5,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
6,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
7,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
8,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
9,8848.008,25398.6,25398.6,7912.61,70,69.9165,69.8446,69.7371,69.5671,69.4305,39.8533,39.8949,39.8559,39.8136,39.7714,39.8398,429.058,309713
